,num_below,peaks_below,file_name
22,79,"[550.61767124 506.65145639 546.66500394 478.66726462 446.6816644
 308.73102421 360.73870625 388.74368842 331.75386662 357.76148069
 408.76156994 260.88300939 698.77655721 534.77791972 514.77821484
 263.78060242 358.78159868 262.91637474 348.79909067 336.79934844
 410.79980943 261.92028649 349.80665877 512.81750675 257.91645289
 231.85930796 312.82766401 423.82784048 420.83032783 241.89144513
 365.83637322 364.83686481 387.83862965 250.91864899 259.95099565
 341.84721745 238.89969739 219.84758321 369.84815416 343.84843302
 236.89808309 333.8522059  394.85307288 380.85469942 490.8570574
 466.85707194 242.91952382 296.8581813  334.86255402 239.91854466
 303.86837461 347.86839676 256.96459541 317.86988729 280.87148233
 328.87173478 356.87187638 313.87244437 450.87261414 269.87289958
 237.92504855 319.87729345 424.87765796 556.87781867 216.87861906
 246.95041289 240.93841697 278.88361289 402.88551636 409.88712286
 274.88780814 218.88793907 507.8922388  247.8925536  386.89392156
 217.89487509 271.89594132 342.89630614 251.98042188]",022395~1.cas
23,15,"[459.53893171  41.50532593  44.51411171 553.57795978  39.58869005
  42.58778071  98.56855396  67.61656885 108.62274826  73.66694542
  56.69280665 138.67955189 272.77512937  81.71147972 137.75814745]",022395~2.cas
24,0,[],030695~1.cas
25,6,"[520.53773368 519.56444781 684.56701636 686.56960425 685.57817221
 683.7189903 ]",030695~2.cas
26,6,"[ 78.51123906  73.60278621  95.64663936  69.75838825  39.8322485
 695.89341029]",030695~3.cas
27,17,"[656.62014577 353.78103641 326.7827042  332.79055715 330.793604
 327.79451434 331.79666704 328.79789285 242.86058989 329.80255508
 276.81685536 317.82292566 266.85125075 290.85887682 292.86503589
 252.86955604 294.86982637]",030695~4.cas
28,23,"[116.51318061 150.53166426 107.51615637 115.51481475 111.5206649
 109.5306625  125.54195688 117.54390761 119.55350256 137.5652077
 121.56336822 128.57796772 127.57915959 134.58715331 131.6058329
 135.6285616  143.63618181 930.75305172 108.66164825 681.79674932
  78.72368877 885.84028277 392.89474772]",030695~5.cas
29,5,[232.82320489 256.97331867 258.99454512 263.01407025 260.00169176],030695~6.cas
30,12,"[27.52272476 54.51553997 40.53956533 42.53740915 53.51835384 68.53557934
 39.59324204 93.54004128 82.60623566 43.68712354 57.70385054 69.71614883]",030895~1.cas
31,3,[ 12.75493885 250.95835903 259.00000269],030895~2.cas
32,0,[],0312205.cas
33,13,"[4.89533997e+02 5.55006069e+01 1.26488601e+01 9.49653290e+02
 4.65341422e+00 9.70668855e+02 1.66743109e+01 4.93689958e+02
 1.37312654e+01 7.63393788e-01 6.56802759e+02 4.87172939e+00
 5.29889205e+02]",0312206.cas
34,4,[439.50783724 442.54282785  57.5161162  647.83191946],0317401.cas
35,1,[14.8472595],0317402.cas
36,1,[13.85123309],0317403.cas
37,1,[188.84045592],0317404.cas
38,1,[17.67952381],031795~1.cas
39,6,"[103.50798163 120.53973328  41.6040463  108.64397541  91.65856411
 262.99874866]",031795~2.cas
40,0,[],0407210.cas
41,0,[],0410207.cas
42,1,[106.78104551],0417207.cas
